Date Saved,2/20/2026 7:03:31 PM
Title,UVTORCH-FILTERS_010_02°_Under

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],Under
⊿uv,Under
Illuminance [lx],1.2
Illuminance [fc],0.11
Peak Wavelength [nm],400
Tristimulus Value X,32.4709
Tristimulus Value Y,1.1984
Tristimulus Value Z,156.4593
CIE1931 x,0.1708
CIE1931 y,0.0063
CIE1931 z,0.8229
CIE1976 u',0.2499
CIE1976 v',0.0207
Dominant Wavelength [nm],424
Purity [%],99.8
PPFD [umolm⁻²s⁻¹],2.8
CRI Ra,Under
CRI R1,Under
CRI R2,Under
CRI R3,Under
CRI R4,Under
CRI R5,Under
CRI R6,Under
CRI R7,Under
CRI R8,Under
CRI R9,Under
CRI R10,Under
CRI R11,Under
CRI R12,Under
CRI R13,Under
CRI R14,Under
CRI R15,Under
TM-30 Rf,Under
TM-30 Rg,Under
SSIt,Under
SSId,Under
SSI1,---
SSI2,---
TLCI,Under
TLMF,---

Spectral Data 380[nm],0.005569723435
Spectral Data 385[nm],0.013450422324
Spectral Data 390[nm],0.031813316047
Spectral Data 395[nm],0.054893784225
Spectral Data 400[nm],0.065916217864
Spectral Data 405[nm],0.054719753563
Spectral Data 410[nm],0.033985950053
Spectral Data 415[nm],0.018163878471
Spectral Data 420[nm],0.009278244339
Spectral Data 425[nm],0.004639781546
Spectral Data 430[nm],0.002329507610
Spectral Data 435[nm],0.001196114346
Spectral Data 440[nm],0.000639956561
Spectral Data 445[nm],0.000365743472
Spectral Data 450[nm],0.000213617168
Spectral Data 455[nm],0.000116078496
Spectral Data 460[nm],0.000063116531
Spectral Data 465[nm],0.000065288659
Spectral Data 470[nm],0.000058104237
Spectral Data 475[nm],0.000033318986
Spectral Data 480[nm],0.000045359793
Spectral Data 485[nm],0.000040852021
Spectral Data 490[nm],0.000018472354
Spectral Data 495[nm],0.000000396114
Spectral Data 500[nm],0.000000000000
Spectral Data 505[nm],0.000000000000
Spectral Data 510[nm],0.000000000000
Spectral Data 515[nm],0.000000000000
Spectral Data 520[nm],0.000000000000
Spectral Data 525[nm],0.000000000000
Spectral Data 530[nm],0.000000000000
Spectral Data 535[nm],0.000000000000
Spectral Data 540[nm],0.000000000000
Spectral Data 545[nm],0.000000000000
Spectral Data 550[nm],0.000000000000
Spectral Data 555[nm],0.000000000000
Spectral Data 560[nm],0.000000000000
Spectral Data 565[nm],0.000000000000
Spectral Data 570[nm],0.000000000000
Spectral Data 575[nm],0.000000000000
Spectral Data 580[nm],0.000000000000
Spectral Data 585[nm],0.000000000000
Spectral Data 590[nm],0.000000000000
Spectral Data 595[nm],0.000000000000
Spectral Data 600[nm],0.000000000000
Spectral Data 605[nm],0.000000000000
Spectral Data 610[nm],0.000000000000
Spectral Data 615[nm],0.000000000000
Spectral Data 620[nm],0.000000000000
Spectral Data 625[nm],0.000000000000
Spectral Data 630[nm],0.000000000000
Spectral Data 635[nm],0.000000000000
Spectral Data 640[nm],0.000000000000
Spectral Data 645[nm],0.000000000000
Spectral Data 650[nm],0.000000000000
Spectral Data 655[nm],0.000000000000
Spectral Data 660[nm],0.000000000000
Spectral Data 665[nm],0.000000000000
Spectral Data 670[nm],0.000000000000
Spectral Data 675[nm],0.000000000000
Spectral Data 680[nm],0.000000000000
Spectral Data 685[nm],0.000000000000
Spectral Data 690[nm],0.000000000000
Spectral Data 695[nm],0.000000000000
Spectral Data 700[nm],0.000000000000
Spectral Data 705[nm],0.000000000000
Spectral Data 710[nm],0.000000000000
Spectral Data 715[nm],0.000000000000
Spectral Data 720[nm],0.000000000000
Spectral Data 725[nm],0.000000000000
Spectral Data 730[nm],0.000000000000
Spectral Data 735[nm],0.000000000000
Spectral Data 740[nm],0.000000000000
Spectral Data 745[nm],0.000000000000
Spectral Data 750[nm],0.000000000000
Spectral Data 755[nm],0.000000000000
Spectral Data 760[nm],0.000000000000
Spectral Data 765[nm],0.000000000000
Spectral Data 770[nm],0.000000000000
Spectral Data 775[nm],0.000000000000
Spectral Data 780[nm],0.000000000000

Spectral Data 380[nm],0.003891214263
Spectral Data 381[nm],0.005084996577
Spectral Data 382[nm],0.006512091495
Spectral Data 383[nm],0.008198593743
Spectral Data 384[nm],0.010199349374
Spectral Data 385[nm],0.012576388195
Spectral Data 386[nm],0.015391746536
Spectral Data 387[nm],0.018698167056
Spectral Data 388[nm],0.022475177422
Spectral Data 389[nm],0.026667596772
Spectral Data 390[nm],0.031220041215
Spectral Data 391[nm],0.036074150354
Spectral Data 392[nm],0.041119255126
Spectral Data 393[nm],0.046199932694
Spectral Data 394[nm],0.051159329712
Spectral Data 395[nm],0.055840201676
Spectral Data 396[nm],0.060062877834
Spectral Data 397[nm],0.063613533974
Spectral Data 398[nm],0.066275484860
Spectral Data 399[nm],0.067832134664
Spectral Data 400[nm],0.068150430918
Spectral Data 401[nm],0.067331418395
Spectral Data 402[nm],0.065516866744
Spectral Data 403[nm],0.062848538160
Spectral Data 404[nm],0.059471406043
Spectral Data 405[nm],0.055547758937
Spectral Data 406[nm],0.051245719194
