Date Saved,12.12.2025 12:29:51
Title,TROMSO2025_004_02°_11909K

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],11909
⊿uv,0.0020
Illuminance [lx],62.4
Illuminance [fc],5.79
Peak Wavelength [nm],454
Tristimulus Value X,60.2556
Tristimulus Value Y,62.3525
Tristimulus Value Z,99.9414
CIE1931 x,0.2708
CIE1931 y,0.2802
CIE1931 z,0.4491
CIE1976 u',0.1861
CIE1976 v',0.4332
Dominant Wavelength [nm],480
Purity [%],26.0
PPFD [umolm⁻²s⁻¹],1.4
CRI Ra,87.6
CRI R1,84.9
CRI R2,90.8
CRI R3,94.6
CRI R4,87.4
CRI R5,87.8
CRI R6,90.7
CRI R7,90.2
CRI R8,74.5
CRI R9,15.8
CRI R10,77.4
CRI R11,86.2
CRI R12,88.9
CRI R13,85.8
CRI R14,96.6
CRI R15,78.7
TM-30 Rf,89
TM-30 Rg,103
SSIt,30
SSId,74
SSI1,---
SSI2,---
TLCI,78
TLMF,---

Spectral Data 380[nm],0.000607159280
Spectral Data 385[nm],0.000648726302
Spectral Data 390[nm],0.000692127098
Spectral Data 395[nm],0.000800105568
Spectral Data 400[nm],0.000959005149
Spectral Data 405[nm],0.001097191591
Spectral Data 410[nm],0.001180277439
Spectral Data 415[nm],0.001225774758
Spectral Data 420[nm],0.001231839415
Spectral Data 425[nm],0.001202079002
Spectral Data 430[nm],0.001189751318
Spectral Data 435[nm],0.001238069381
Spectral Data 440[nm],0.001325863763
Spectral Data 445[nm],0.001415850129
Spectral Data 450[nm],0.001483732136
Spectral Data 455[nm],0.001506812638
Spectral Data 460[nm],0.001502671395
Spectral Data 465[nm],0.001501678373
Spectral Data 470[nm],0.001488136477
Spectral Data 475[nm],0.001454525394
Spectral Data 480[nm],0.001415688428
Spectral Data 485[nm],0.001377650653
Spectral Data 490[nm],0.001356079476
Spectral Data 495[nm],0.001330136205
Spectral Data 500[nm],0.001278267358
Spectral Data 505[nm],0.001221005805
Spectral Data 510[nm],0.001178406645
Spectral Data 515[nm],0.001136124134
Spectral Data 520[nm],0.001089269412
Spectral Data 525[nm],0.001042626449
Spectral Data 530[nm],0.000995705137
Spectral Data 535[nm],0.000957581680
Spectral Data 540[nm],0.000926662760
Spectral Data 545[nm],0.000895566016
Spectral Data 550[nm],0.000859660562
Spectral Data 555[nm],0.000814840721
Spectral Data 560[nm],0.000759463233
Spectral Data 565[nm],0.000698896241
Spectral Data 570[nm],0.000647054461
Spectral Data 575[nm],0.000624091306
Spectral Data 580[nm],0.000634707452
Spectral Data 585[nm],0.000655998243
Spectral Data 590[nm],0.000658284873
Spectral Data 595[nm],0.000638477737
Spectral Data 600[nm],0.000618187420
Spectral Data 605[nm],0.000615628669
Spectral Data 610[nm],0.000634053780
Spectral Data 615[nm],0.000662345497
Spectral Data 620[nm],0.000680579396
Spectral Data 625[nm],0.000684799801
Spectral Data 630[nm],0.000702541380
Spectral Data 635[nm],0.000752584892
Spectral Data 640[nm],0.000814217725
Spectral Data 645[nm],0.000862878805
Spectral Data 650[nm],0.000893883756
Spectral Data 655[nm],0.000922460749
Spectral Data 660[nm],0.000958619348
Spectral Data 665[nm],0.000997373019
Spectral Data 670[nm],0.001032430795
Spectral Data 675[nm],0.001047361176
Spectral Data 680[nm],0.001009722007
Spectral Data 685[nm],0.000951907714
Spectral Data 690[nm],0.000957745186
Spectral Data 695[nm],0.001025467645
Spectral Data 700[nm],0.001089580706
Spectral Data 705[nm],0.001126400894
Spectral Data 710[nm],0.001127529540
Spectral Data 715[nm],0.001093566418
Spectral Data 720[nm],0.001058827271
Spectral Data 725[nm],0.001061318093
Spectral Data 730[nm],0.001096627209
