Date Saved,2/25/2026 11:15:18 AM
Title,KAI-05-03_011_02°_5740K

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],5740
⊿uv,0.0024
Illuminance [lx],56500
Illuminance [fc],5250
Peak Wavelength [nm],478
Tristimulus Value X,54226.9727
Tristimulus Value Y,56548.0546
Tristimulus Value Z,55014.4952
CIE1931 x,0.3271
CIE1931 y,0.3411
CIE1931 z,0.3318
CIE1976 u',0.2032
CIE1976 v',0.4768
Dominant Wavelength [nm],509
Purity [%],1.9
PPFD [umolm⁻²s⁻¹],1020.4
CRI Ra,99.2
CRI R1,99.2
CRI R2,99.1
CRI R3,99.2
CRI R4,99.3
CRI R5,99.1
CRI R6,98.9
CRI R7,99.7
CRI R8,99.5
CRI R9,98.1
CRI R10,98.0
CRI R11,99.0
CRI R12,97.6
CRI R13,99.0
CRI R14,99.5
CRI R15,99.2
TM-30 Rf,99
TM-30 Rg,100
SSIt,56
SSId,97
SSI1,---
SSI2,---
TLCI,100
TLMF,---

Spectral Data 380[nm],0.295215368271
Spectral Data 385[nm],0.318620204926
Spectral Data 390[nm],0.344523161650
Spectral Data 395[nm],0.401365458965
Spectral Data 400[nm],0.482327312231
Spectral Data 405[nm],0.551719009876
Spectral Data 410[nm],0.593438327312
Spectral Data 415[nm],0.618918597698
Spectral Data 420[nm],0.627372264862
Spectral Data 425[nm],0.618443429470
Spectral Data 430[nm],0.617909252644
Spectral Data 435[nm],0.647810220718
Spectral Data 440[nm],0.698114395142
Spectral Data 445[nm],0.750300407410
Spectral Data 450[nm],0.792614161968
Spectral Data 455[nm],0.814942240715
Spectral Data 460[nm],0.824936628342
Spectral Data 465[nm],0.833840131760
Spectral Data 470[nm],0.836985051632
Spectral Data 475[nm],0.837832450867
Spectral Data 480[nm],0.836634635925
Spectral Data 485[nm],0.825946450233
Spectral Data 490[nm],0.821412503719
Spectral Data 495[nm],0.824358999729
Spectral Data 500[nm],0.823790371418
Spectral Data 505[nm],0.819945514202
Spectral Data 510[nm],0.812018573284
Spectral Data 515[nm],0.798068583012
Spectral Data 520[nm],0.791093587875
Spectral Data 525[nm],0.797003626823
Spectral Data 530[nm],0.805360138416
Spectral Data 535[nm],0.811599373817
Spectral Data 540[nm],0.810839533806
Spectral Data 545[nm],0.805349946022
Spectral Data 550[nm],0.800426959991
Spectral Data 555[nm],0.793078720570
Spectral Data 560[nm],0.781918644905
Spectral Data 565[nm],0.770839869976
Spectral Data 570[nm],0.760881423950
Spectral Data 575[nm],0.756661117077
Spectral Data 580[nm],0.757456362247
Spectral Data 585[nm],0.754301190376
Spectral Data 590[nm],0.747909069061
Spectral Data 595[nm],0.743645191193
Spectral Data 600[nm],0.740575075150
Spectral Data 605[nm],0.736314713955
Spectral Data 610[nm],0.730448365211
Spectral Data 615[nm],0.723891973495
Spectral Data 620[nm],0.716937780380
Spectral Data 625[nm],0.708912789822
Spectral Data 630[nm],0.705083906651
Spectral Data 635[nm],0.709071636200
Spectral Data 640[nm],0.712914526463
Spectral Data 645[nm],0.708475828171
Spectral Data 650[nm],0.697818756104
Spectral Data 655[nm],0.693548083305
Spectral Data 660[nm],0.698974370956
Spectral Data 665[nm],0.706589400768
Spectral Data 670[nm],0.709930062294
Spectral Data 675[nm],0.707064509392
Spectral Data 680[nm],0.685541868210
Spectral Data 685[nm],0.651284039021
Spectral Data 690[nm],0.637676596642
Spectral Data 695[nm],0.649288058281
Spectral Data 700[nm],0.661013543606
Spectral Data 705[nm],0.664308071136
Spectral Data 710[nm],0.652781665325
Spectral Data 715[nm],0.623965263367
Spectral Data 720[nm],0.597505092621
Spectral Data 725[nm],0.593075394630
Spectral Data 730[nm],0.608061254025
Spectral Data 735[nm],0.625630259514
Spectral Data 740[nm],0.635794997215
Spectral Data 745[nm],0.638783991337
Spectral Data 750[nm],0.610296130180
Spectral Data 755[nm],0.530721664429
Spectral Data 760[nm],0.451740384102
Spectral Data 765[nm],0.455166608095
Spectral Data 770[nm],0.529903709888
Spectral Data 775[nm],0.584052979946
Spectral Data 780[nm],0.606490671635

Spectral Data 380[nm],0.297082811594
Spectral Data 381[nm],0.302743494511
Spectral Data 382[nm],0.307177424431
Spectral Data 383[nm],0.311028212309
Spectral Data 384[nm],0.314562171698
Spectral Data 385[nm],0.317951232195
Spectral Data 386[nm],0.321367442608
Spectral Data 387[nm],0.325001090765
Spectral Data 388[nm],0.329187750816
Spectral Data 389[nm],0.334331661463
Spectral Data 390[nm],0.340837508440
Spectral Data 391[nm],0.349093556404
Spectral Data 392[nm],0.359198957682
Spectral Data 393[nm],0.371005594730
Spectral Data 394[nm],0.384357541800
Spectral Data 395[nm],0.399097561836
Spectral Data 396[nm],0.415004163980
Spectral Data 397[nm],0.431757688522
Spectral Data 398[nm],0.449030280113
Spectral Data 399[nm],0.466494083405
Spectral Data 400[nm],0.483806133270
Spectral Data 401[nm],0.500581324100
Spectral Data 402[nm],0.516427278519
Spectral Data 403[nm],0.530951440334
Spectral Data 404[nm],0.543833374977
Spectral Data 405[nm],0.555141270161
Spectral Data 406[nm],0.565074265003
Spectral Data 407[nm],0.573831558228
Spectral Data 408[nm],0.581610202789
Spectral Data 409[nm],0.588582158089
Spectral Data 410[nm],0.594904005527
Spectral Data 411[nm],0.600731849670
Spectral Data 412[nm],0.606217682362
Spectral Data 413[nm],0.611390650272
Spectral Data 414[nm],0.616143584251
Spectral Data 415[nm],0.620362460613
Spectral Data 416[nm],0.623933017254
Spectral Data 417[nm],0.626744508743
Spectral Data 418[nm],0.628692805767
Spectral Data 419[nm],0.629674434662
Spectral Data 420[nm],0.629586100578
Spectral Data 421[nm],0.628394782543
Spectral Data 422[nm],0.626331627369
Spectral Data 423[nm],0.623690187931
Spectral Data 424[nm],0.620764017105
Spectral Data 425[nm],0.617849051952
Spectral Data 426[nm],0.615276217461
Spectral Data 427[nm],0.613389015198
Spectral Data 428[nm],0.612530589104
Spectral Data 429[nm],0.613031446934
Spectral Data 430[nm],0.615027070045
Spectral Data 431[nm],0.618498802185
Spectral Data 432[nm],0.623423695564
Spectral Data 433[nm],0.629776716232
Spectral Data 434[nm],0.637444913387
Spectral Data 435[nm],0.646192312241
Spectral Data 436[nm],0.655773162842
Spectral Data 437[nm],0.665941894054
Spectral Data 438[nm],0.676484525204
Spectral Data 439[nm],0.687268376350
Spectral Data 440[nm],0.698174893856
Spectral Data 441[nm],0.709085464478
Spectral Data 442[nm],0.719888508320
Spectral Data 443[nm],0.730516552925
Spectral Data 444[nm],0.740917146206
Spectral Data 445[nm],0.751037776470
Spectral Data 446[nm],0.760823190212
Spectral Data 447[nm],0.770180702209
Spectral Data 448[nm],0.778991103172
Spectral Data 449[nm],0.787134587765
Spectral Data 450[nm],0.794492542744
Spectral Data 451[nm],0.800960421562
Spectral Data 452[nm],0.806452035904
Spectral Data 453[nm],0.810883760452
Spectral Data 454[nm],0.814172387123
Spectral Data 455[nm],0.816359460354
Spectral Data 456[nm],0.817832946777
Spectral Data 457[nm],0.819042325020
Spectral Data 458[nm],0.820437192917
Spectral Data 459[nm],0.822386562824
Spectral Data 460[nm],0.824776947498
Spectral Data 461[nm],0.827318668365
Spectral Data 462[nm],0.829721748829
Spectral Data 463[nm],0.831711292267
Spectral Data 464[nm],0.833227694035
Spectral Data 465[nm],0.834372997284
Spectral Data 466[nm],0.835253059864
Spectral Data 467[nm],0.835972726345
Spectral Data 468[nm],0.836582899094
Spectral Data 469[nm],0.837056279182
Spectral Data 470[nm],0.837359547615
Spectral Data 471[nm],0.837459683418
Spectral Data 472[nm],0.837367475033
Spectral Data 473[nm],0.837221324444
Spectral Data 474[nm],0.837184071541
Spectral Data 475[nm],0.837418675423
Spectral Data 476[nm],0.838032901287
Spectral Data 477[nm],0.838787615299
Spectral Data 478[nm],0.839308619499
Spectral Data 479[nm],0.839221417904
Spectral Data 480[nm],0.838176190853
Spectral Data 481[nm],0.836196780205
Spectral Data 482[nm],0.833594679832
Spectral Data 483[nm],0.830688476563
Spectral Data 484[nm],0.827796220779
Spectral Data 485[nm],0.825170934200
Spectral Data 486[nm],0.822965621948
Spectral Data 487[nm],0.821325898170
Spectral Data 488[nm],0.820397317410
Spectral Data 489[nm],0.820246160030
Spectral Data 490[nm],0.820695638657
Spectral Data 491[nm],0.821522772312
Spectral Data 492[nm],0.822504639626
Spectral Data 493[nm],0.823434770107
Spectral Data 494[nm],0.824221909046
Spectral Data 495[nm],0.824821770191
Spectral Data 496[nm],0.825189888477
Spectral Data 497[nm],0.825285077095
Spectral Data 498[nm],0.825114428997
Spectral Data 499[nm],0.824724435806
Spectral Data 500[nm],0.824162840843
Spectral Data 501[nm],0.823477208614
Spectral Data 502[nm],0.822706758976
Spectral Data 503[nm],0.821877479553
Spectral Data 504[nm],0.821013987064
Spectral Data 505[nm],0.820141077042
Spectral Data 506[nm],0.819248616695
Spectral Data 507[nm],0.818213582039
Spectral Data 508[nm],0.816889882088
Spectral Data 509[nm],0.815131664276
Spectral Data 510[nm],0.812820971012
Spectral Data 511[nm],0.810036003590
Spectral Data 512[nm],0.806937754154
Spectral Data 513[nm],0.803687572479
Spectral Data 514[nm],0.800447463989
Spectral Data 515[nm],0.797379076481
Spectral Data 516[nm],0.794643938541
Spectral Data 517[nm],0.792404234409
Spectral Data 518[nm],0.790820658207
Spectral Data 519[nm],0.789977967739
Spectral Data 520[nm],0.789836227894
Spectral Data 521[nm],0.790343165398
Spectral Data 522[nm],0.791446447372
Spectral Data 523[nm],0.793064236641
Spectral Data 524[nm],0.795015335083
Spectral Data 525[nm],0.797096550465
Spectral Data 526[nm],0.799104630947
Spectral Data 527[nm],0.800863921642
Spectral Data 528[nm],0.802404880524
Spectral Data 529[nm],0.803850173950
Spectral Data 530[nm],0.805322706699
Spectral Data 531[nm],0.806936800480
Spectral Data 532[nm],0.808650434017
Spectral Data 533[nm],0.810280978680
Spectral Data 534[nm],0.811640143394
Spectral Data 535[nm],0.812541007996
Spectral Data 536[nm],0.812901020050
Spectral Data 537[nm],0.812819540501
